,ticker,setor,ano_tri,data_base,preco,upside,upside_tri,roc,roc_tri,roe,roe_tri,roic,p_vp,p_l,p_ebit,ev_ebitda,enterprise_value,earning_yield,margem_bruta,margem_ebit,margem_liquida,endividamento,dividend_yield,volume
127,POMO3,transporte,20224T,2023-04-03,2.39,0.31981393,2.89438419,0.05674117,0.13648846,0.13629733,0.33108117,0.04769218,0.7009,5.1427,8.4519,8.9274,3442283.0,0.07721009,0.15316978,0.04907639,0.08065598,0.37317963,0.03952452,141.254
128,BOAS3,tecnologia,20224T,2023-04-03,7.51,0.06846112,-0.05049324,0.24375468,0.26581881,0.13538866,0.2155724,0.09759041,1.8132,13.3922,18.4966,6.3602,2615086.0,0.08243781,0.57664111,0.24714402,0.34134173,-0.62405785,0.00957209,4767.988
129,BBDC4,banco,20224T,2023-04-03,12.84,0.23640195,-0.67776885,0.0,0.0,0.13365898,0.02089975,0.0,0.8608,6.4405,5.6444,0.0,0.0,0.0,0.36229826,0.11757352,0.10303948,0.0,0.02676012,758415.203
130,BBDC3,banco,20224T,2023-04-03,11.58,0.37093273,-0.64270742,0.0,0.0,0.13365898,0.02089975,0.0,0.7764,5.8085,5.0905,0.0,0.0,0.0,0.36229826,0.11757352,0.10303948,0.0,0.02967185,59233.556
131,SAPR11,saneamento,20224T,2023-04-03,18.29,1.2379797,1.28520826,0.12424544,0.13790403,0.13105187,0.15976489,0.12894939,0.6291,4.8005,3.0908,4.232,9403302.0,0.19020393,0.5799254,0.31523727,0.20296257,0.44103355,0.05596013,15566.873
132,SAPR4,saneamento,20224T,2023-04-03,3.66,1.23675676,1.28395951,0.12424544,0.13790403,0.13105187,0.15976489,0.12894939,0.6295,4.8032,3.0925,4.2333,9406324.0,0.19014282,0.5799254,0.31523727,0.20296257,0.44103355,0.05592955,6974.95
133,SAPR3,saneamento,20224T,2023-04-03,3.54,1.31257903,1.36138187,0.12424544,0.13790403,0.13105187,0.15976489,0.12894939,0.6088,4.6457,2.9911,4.1517,9224980.0,0.19388065,0.5799254,0.31523727,0.20296257,0.44103355,0.05782546,1274.334
134,FIQE3,telecom,20224T,2023-04-03,3.5,0.67060719,0.63874629,0.17060421,0.18142566,0.13056392,0.12956118,0.13291937,1.239,9.4896,6.7981,3.1116,1048136.0,0.17341166,0.46541371,0.2679041,0.19192038,-0.18799748,0.02427929,452.658
135,GRND3,consumo,20224T,2023-04-03,7.09,-0.43325916,-0.0396885,0.07146736,0.14982562,0.13015807,0.18570199,0.05296502,1.4649,11.255,26.736,16.1109,5362766.0,0.04458893,0.4010744,0.09516623,0.22606636,-0.23609506,0.07704959,22230.853
136,SANB11,banco,20224T,2023-04-03,26.3,0.11922447,-0.07367123,0.0,0.0,0.12955775,0.10502242,0.0,0.8864,6.8414,5.0117,0.0,0.0,0.0,0.41226408,0.16988246,0.12444748,0.0,0.1456339,57149.104
137,SANB4,banco,20224T,2023-04-03,14.07,0.04604135,-0.13424142,0.0,0.0,0.12955775,0.10502242,0.0,0.9484,7.3201,5.3623,0.0,0.0,0.0,0.41226408,0.16988246,0.12444748,0.0,0.13611129,1820.146
138,SANB3,banco,20224T,2023-04-03,12.25,0.20145321,-0.00561443,0.0,0.0,0.12955775,0.10502242,0.0,0.8257,6.3732,4.6687,0.0,0.0,0.0,0.41226408,0.16988246,0.12444748,0.0,0.15633354,1174.264
139,DXCO3,madeira-papel,20224T,2023-04-03,5.9,0.37311088,1.12124387,0.12768398,0.1173666,0.12830895,0.14618177,0.12535248,0.7996,6.2317,3.2892,3.7455,8594674.0,0.16861874,0.33838876,0.17076503,0.09013238,0.64209476,1.154e-05,26400.47
140,ARML3,transporte,20224T,2023-04-03,11.85,-0.19375862,-0.09632184,0.13014056,0.15093254,0.12826008,0.17528556,0.09711328,3.5322,27.5391,12.7753,11.5711,5293555.0,0.06051,0.47031061,0.3365502,0.15612438,1.03706795,0.02431105,3844.29
141,LREN3,varejo,20224T,2023-04-03,15.41,0.46467057,1.0248491,0.12406561,0.22141173,0.12804977,0.19105716,0.11265616,1.4791,11.5512,10.6016,5.6455,13822611.0,0.10181875,0.60166766,0.10604977,0.09733183,-0.10885803,0.05123614,790016.605
142,EUCA4,madeira-papel,20224T,2023-04-03,9.25,1.59510553,0.52448617,0.13082743,0.12305211,0.12793292,0.16294341,0.14662122,0.4236,3.3114,2.2046,2.8379,1382922.0,0.27968234,0.32258975,0.15405551,0.1025644,0.26342498,0.02815053,127.41
143,CIEL3,tecnologia,20224T,2023-04-03,4.67,0.289109,0.48451532,0.09723958,0.09839437,0.12410135,0.12062673,0.13123199,0.9094,7.3276,4.6795,4.7249,17324662.0,0.15498057,0.41375742,0.25109505,0.16035378,0.34452367,0.07760423,286618.645
144,JHSF3,construção,20224T,2023-04-03,3.7,1.32757119,1.8014608,0.10189318,0.07931681,0.1225066,0.06602822,0.1085345,0.4865,3.9713,2.8133,4.8638,4646067.0,0.19205104,0.59653003,0.4691056,0.33231516,0.41394464,0.05636535,12348.774
145,VBBR3,transporte,20224T,2023-04-03,14.08,0.96667669,-0.42950067,0.135916,0.14096009,0.1218584,0.17949734,0.13201573,1.2446,10.2133,3.9631,6.412,28943862.0,0.13685112,0.04127399,0.02183019,0.00847084,1.05018632,0.03121444,112881.892
146,MULT3,shopping,20224T,2023-04-03,24.43,-0.42529389,-0.22190053,0.11847912,0.14287089,0.1168831,0.14527273,0.1119302,2.1824,18.6713,13.4445,12.785,16304065.0,0.06553599,0.81146303,0.59440366,0.42800727,0.29450943,0.01450411,113092.611
147,CSMG3,saneamento,20224T,2023-04-03,16.09,0.36746435,0.57397967,0.11312071,0.12394993,0.11625341,0.14792555,0.1099077,0.841,7.2343,4.8718,4.5997,9118762.0,0.13733619,0.37486974,0.20274654,0.13653583,0.4159646,0.02231402,41654.852
148,FRAS3,indústria,20224T,2023-04-03,9.17,0.15767753,0.40221227,0.16587144,0.09927982,0.1143301,0.079436,0.12333408,1.3768,12.0424,7.3522,5.3298,2308448.0,0.14427011,0.2954305,0.10890169,0.06648713,-0.07878712,0.02863309,2446.316
149,FLRY3,saúde,20224T,2023-04-03,14.15,0.13504072,-0.21172458,0.12707044,0.07491954,0.11429888,0.04486641,0.1152142,1.9194,16.7926,7.0539,6.3454,7553003.0,0.09730845,0.2711403,0.16467946,0.06917505,0.87690502,0.06504137,21770.728
150,SBSP3,saneamento,20224T,2023-04-03,50.4,0.154688,0.12541609,0.09431609,0.08749195,0.11419186,0.09398126,0.10034441,1.2603,11.0368,7.4161,7.0268,49862210.0,0.09316001,0.34933419,0.2106104,0.14151735,0.56389758,0.02151886,216936.691
151,TOTS3,tecnologia,20224T,2023-04-03,28.18,-0.47545623,-0.46539001,0.13756331,0.13426754,0.11413702,0.13384519,0.10104595,3.7229,32.6174,26.6252,18.3452,16092504.0,0.03983687,0.6980518,0.16901832,0.13796741,-0.2129237,0.00820424,125812.079
152,VVEO3,saúde,20224T,2023-04-03,15.7,0.167648,0.29336402,0.1115126,0.11457929,0.1138959,0.11081887,0.09146215,1.9517,17.1361,8.6699,8.3616,5767194.0,0.08901486,0.15968205,0.05869367,0.02969554,0.57724994,0.01011052,13187.846
153,PGMN3,saúde,20224T,2023-04-03,3.02,-0.0541319,-0.92956857,0.10673847,0.14013481,0.1122705,0.17346701,0.16260724,0.5678,5.0577,2.0891,2.6712,2735738.0,0.2327836,0.32111774,0.06930349,0.02862628,0.59978967,0.00109363,2196.521
154,CYRE3,construção,20224T,2023-04-03,13.65,0.34526074,0.62466409,0.07927772,0.07772383,0.11151501,0.1125916,0.07260807,0.6661,5.9732,5.6155,7.8297,7150822.0,0.12771804,0.32037463,0.16874339,0.15863714,0.26265503,0.00680913,57074.634
155,TECN3,consumo,20224T,2023-04-03,3.14,1.94117552,3.26610764,0.1188304,0.20091512,0.10939975,0.2381503,0.11459551,0.6259,5.7214,4.1082,4.3532,242051.0,0.22971576,0.5425246,0.15830847,0.11367131,0.03732881,0.02626207,2212.326
156,LOGG3,construção,20224T,2023-04-03,15.45,-0.56626534,-0.38405718,0.08969483,0.06793599,0.10936619,0.04887443,0.09161808,0.4213,3.8523,3.0983,6.0417,3019986.0,0.16497162,0.98600101,2.29347696,1.84458868,0.40295204,0.05676666,5298.021
157,PSSA3,seguro,20224T,2023-04-03,22.76,-0.24426532,0.29508164,0.0,0.0,0.10828717,0.21398175,0.0,1.3643,12.5989,20.5197,0.0,0.0,0.0,1.0,0.02551954,0.04156329,0.0,0.04335984,73671.754
158,MRFG3,proteína,20224T,2023-04-03,6.3,0.651834,-0.57681346,0.11120139,-0.0069355,0.10446185,-0.24699072,0.10583613,0.1502,1.4376,0.4114,3.0377,46255493.0,0.20873097,0.13589592,0.07390973,0.02115088,1.59863823,0.69728278,98794.355
159,LAVV3,construção,20224T,2023-04-03,5.14,0.00864,-1.13572592,0.07420724,0.0807684,0.10422138,0.11088987,0.06652084,0.7998,7.674,11.6107,7.1693,620302.0,0.13948375,0.33554824,0.1558037,0.23573138,-0.30594153,0.13214954,3776.913
